Rank Overall,Rank PAX,Driver Name,Car Number,Codriver Car Number,Class,Class Position,Car Year,Car Model,Total Time,PAX Factor,PAX Time,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
1195,1179,Bryan Larson,91,[191],SS,25,2017,Chevy Corvette GS,150.890,0.817,123.277,78.527,83.986(1),78.786,74.207,72.988,72.363
1275,1236,Tiberiu Muresan,81,[181],SS,26,2011,Porsche GT3,154.821,0.817,126.489,DNF,81.881,80.562,89.918,74.825,74.259
1311,1288,O D Terry Davis,83,[183],SS,27,,Porsche Cayman GTS,159.502,0.817,130.313,79.173,81.307,81.894,DNF,81.496,80.329
,1348,Jason Rippel,121,[21],SS,28,2017,Ford Mustang GT350,No Time,0.817,999.999,79.844,80.347,89.776(1),DNS,DNS,DNS
,1348,Ron Rippel,21,[121],SS,29,2017,Ford Shelby GT350R,No Time,0.817,999.999,DNF,84.949,82.184,DNS,DNS,DNS
899,873,Jocelin Huang,96,,SSL,1,2010,Porsche GT3,143.390,0.817,117.150,82.448(1),DNF,71.669,71.729,72.205,71.721
1051,1043,Sharianne Ziola,194,[94],SSL,2,2016,Chevy Corvette Z06,146.456,0.817,119.655,89.614,77.920,74.216,73.452,DNF,72.240
1119,1098,MacKenzi Crowe,83,,SSL,3,2018,Porsche 718 Cayman G,148.351,0.817,121.203,80.635,75.990,73.889,79.342,75.641,74.462
1127,1105,Kristi Brown,176,[76],SSL,4,2016,Porsche Cayman,148.442,0.817,121.277,85.981,72.926,78.622,77.015,75.516,75.650(1)
1181,1161,Casey Hoffman,94,[194],SSL,5,2016,Chevy Corvette Z06,150.356,0.817,122.841,85.943,DNF,78.515(1),80.483(1),74.426,71.841
1194,1175,Wendy Gulick,76,[176],SSL,6,2016,Porsche Cayman GT4,150.820,0.817,123.220,82.851,77.028,73.855,80.942,77.494,76.965
1218,1201,Julie Starr,191,[91],SSL,7,2017,Chevy Corvette GS,152.069,0.817,124.240,85.505(1),DNF,74.055,85.032,78.014,DNF
1268,1235,Leslie Urff,91,[191],SSL,8,2017,Chevy Corvette GS,154.454,0.817,126.189,89.393,79.105,77.009,83.744(1),77.445,77.705
1279,1241,Becky Pearson,18,,SSL,9,2015,Porsche Cayman S,155.214,0.817,126.810,88.716,80.920,76.641,86.662,81.339,78.573
1299,1272,Katie Calvert,17,[78],SSL,10,2017,Acura NSX,157.654,0.817,128.803,DNF,84.995(1),80.517,85.270,78.343,77.137
698,602,William Bostic,171,[71],AS,1,2003,Chevy Corvette Z06,138.805,0.814,112.987,84.947,80.617(1),77.264,65.905(1),62.038,61.541
711,615,John Wolf,71,[171],AS,2,2003,Chevy Corvette Z06,139.070,0.814,113.203,91.088(2),82.532,77.071,65.532(1),61.999,63.543(1)
727,635,Vivek Goel,198,[98],AS,3,2009,Chevy Corvette Z06,139.323,0.814,113.409,81.646,78.853,78.124,63.728(1),61.308,61.199
789,698,Mark Sarcevicz,187,[87],AS,4,2002,Chevy Corvette Z06,140.748,0.814,114.569,DNF,80.301,78.496,67.672(2),66.829(2),62.252
796,703,Justin Neal,64,,AS,5,2007,Chevy Corvette Z06,140.838,0.814,114.642,DNF,81.818,78.779,DNF,63.788,62.059
855,769,Marcus Merideth,83,[183],AS,6,2016,Ford Mustang GT350,142.274,0.814,115.811,85.636,82.644,79.061,69.279(2),63.606,63.213
856,770,Kit Gauthier,78,,AS,7,2017,Porsche Cayman,142.276,0.814,115.813,89.389(1),84.326,81.289,63.027,62.247,60.987
864,781,Rick Martinez,98,[198],AS,8,2009,Chevy Corvette Z06,142.450,0.814,115.954,89.109,82.764,79.019,67.322,63.431,63.498
879,797,Gregory Shumaker,175,[75],AS,9,2017,Chevy Camaro SS,142.755,0.814,116.203,85.675(1),80.095,83.899(2),64.025,62.903,62.660
904,846,Jason Ruggles,51,[151],AS,10,2003,Chevy Corvette Z06,143.491,0.814,116.802,95.784(2),88.027,81.787,63.690,64.386(1),61.704
912,853,John Ma,11,,AS,11,2006,Lotus Elise,143.652,0.814,116.933,90.859,85.293,80.943,76.549(3),64.167,62.709
914,856,Cody Hunt,176,[76],AS,12,2002,Chevy Corvette Z06,143.665,0.814,116.943,91.184,DNF,82.441,63.415,61.224,61.362
918,864,Troy Acosta,17,[117],AS,13,2011,Chevy Corvette GS,143.757,0.814,117.018,89.111,85.186,81.588,67.755(1),64.147,62.169
923,874,Landon Thompson,197,[97],AS,14,2013,Chevy Corvette,143.922,0.814,117.153,DNF,82.731,86.073(2),71.132(4),61.278,61.191
937,888,Johnny Foesch,144,[44],AS,15,2004,Chevy Corvette Z06,144.147,0.814,117.336,90.576,84.960,82.155,64.838,62.854,61.992
945,893,Matt Jones,182,[82],AS,16,2010,Chevy Corvette GS,144.246,0.814,117.416,DNF,83.709,84.970(1),66.572(2),61.297,60.537
951,896,William Damhoff,90,,AS,17,2003,Chevy Corvette Z06,144.320,0.814,117.476,87.567,83.859,80.916,65.295,69.513(3),63.404
952,897,Andrew Francis,72,,AS,18,2004,Chevy Corvette Z06,144.324,0.814,117.480,90.256,86.497(1),82.227,63.796,63.518,62.097
959,906,Casey Weiss,56,,AS,19,2004,Chevy Corvette Z06,144.442,0.814,117.576,96.318(5),86.445,81.562,65.226,68.579(2),62.880
960,908,Shane Chinonn-Rhoden,76,[176],AS,20,2002,Chevy Corvette Z06,144.455,0.814,117.586,DNF,89.167(1),83.416(1),68.127,63.616(1),61.039
962,909,William Petrow,95,[195],AS,21,2018,Porsche Cayman,144.458,0.814,117.589,90.062,84.283,80.423,66.338,64.035,DNF
966,913,John Rogers,86,[186],AS,22,2004,Chevy Corvette Z06,144.516,0.814,117.636,94.632(3),83.670,81.795,66.205(1),63.145,62.721
970,917,Todd Kean,179,[79],AS,23,2006,Chevy Corvette Z06,144.550,0.814,117.664,99.841(2),84.631,83.309,63.779,61.241,61.305
971,923,Jennifer Merideth,183,[83],AS,24,2016,Ford Mustang GT350,144.620,0.814,117.721,88.171(1),81.779,80.258,67.728(1),66.031(1),64.362
991,947,Andy Seipos,99,,AS,25,2016,Chevy Corvette Z5,145.177,0.814,118.174,DNF,87.182(1),82.899,64.726,62.860,62.278
1004,969,Kent Kroll,173,[73],AS,26,2007,Chevy Z06,145.506,0.814,118.442,90.331,85.042,82.758,64.501,63.162,62.748
1013,982,Ron McManus,89,,AS,27,2003,Chevy Corvette Z06,145.692,0.814,118.593,95.766(2),88.982(1),81.367,77.088(2),65.826(1),64.325
1017,983,Terry Tabor,75,[175],AS,28,2017,Chevy Camaro SS,145.744,0.814,118.636,91.708(3),83.481,79.167,68.775(2),66.577(1),DNF
1025,998,Jeremy Pittenger,4,[104],AS,29,2003,Chevy C5 Z06,145.957,0.814,118.809,96.763(3),87.482,83.649,71.633(3),63.920,62.308
1026,999,Erik Carlson,79,[179],AS,30,2006,Chevy Corvette Z06,145.991,0.814,118.837,91.771(1),89.238(1),84.170(1),64.704,61.907,61.821
1028,1001,Christopher Laprus,104,[4],AS,31,2003,Chevy Corvette Z06,146.022,0.814,118.862,95.691(3),86.725,83.209,DNF,62.813,63.931(1)
1029,1002,Alex Dalgleish,97,[197],AS,32,2013,Chevy 427,146.082,0.814,118.911,92.153,87.931,82.964,66.333,64.942,63.118
1041,1014,Chris Harvey,186,[86],AS,33,2004,Chevy Corvette Z06,146.271,0.814,119.065,88.900,83.518,82.655,64.217,64.883(1),63.616
1046,1018,Daniel Gross,82,[182],AS,34,2010,Chevy Corvette,146.356,0.814,119.134,97.480(2),89.735(1),84.472,63.733,62.812,61.884
1048,1019,Chris Deacon,114,[14],AS,35,2004,Chevy Corvette,146.371,0.814,119.146,89.406(1),84.971,83.184,73.247(1),63.894,63.187
1050,1023,Martin Montagno,92,,AS,36,2008,Chevy Corvette,146.425,0.814,119.190,107.992(5),92.788,83.423,68.928,65.344,63.002
1056,1026,Hank Wallace,96,[196],AS,37,2007,Chevy Corvette Z06,146.566,0.814,119.305,98.495,91.361,83.161,DNF,65.927(1),63.405
1063,1039,Geoffrey Wolpert,132,[32],AS,38,2007,Chevy Corvette Z06,146.832,0.814,119.521,DNF,85.718,84.070,71.261(3),DNF,62.762
1069,1044,Yury Kholondyrev,195,[95],AS,39,2018,Porsche Cayman,147.022,0.814,119.676,98.191(3),88.337(2),84.844,76.206(1),62.308,62.178
1073,1047,Nathan Young,174,[74],AS,40,2001,Chevy Corvette,147.112,0.814,119.749,89.936,86.105,84.226,66.808(1),63.705,62.886
1092,1063,Tim Robinson,14,[114],AS,41,2004,Chevy Corvette Z06,147.574,0.814,120.125,96.198(3),86.792,83.828,68.148,64.996,63.746
1102,1073,Bryan Hertweck,117,[17],AS,42,2011,Chevy Corvette GS,147.866,0.814,120.363,94.483(1),90.513,84.015,67.266,65.682,63.851
1103,1076,Nathan Atkins,177,[77],AS,43,2003,Chevy Corvette Z06,147.901,0.814,120.391,88.810,89.824(2),85.723(1),65.030(1),62.178,63.892(1)
1110,1083,Eric Peachey,32,[132],AS,44,2007,Chevy Corvette Z06,148.046,0.814,120.509,100.859(3),91.563(1),84.801,68.011(1),67.834(2),63.245
1124,1091,Brian Regganie,85,[185],AS,45,2002,Chevy Z06,148.403,0.814,120.800,97.399,89.490,84.866,66.952,64.376,63.537
1126,1093,David White,53,[153],AS,46,2006,Chevy Corvette Z06,148.428,0.814,120.820,DNF,DNF,87.700(1),64.955,62.598,60.728
1139,1097,Dan Simms,70,,AS,47,2009,Chevy Corvette Z06,148.727,0.814,121.064,94.148(1),DNF,85.094,69.862(2),63.633,63.895(1)
1148,1106,Frank Finks,93,,AS,48,2003,Chevy Corvette Z06,149.023,0.814,121.305,DNF,87.596,84.030,DNF,66.975,64.993
1162,1119,Jim Fossum,151,[51],AS,49,2003,Chevy C5Z,149.432,0.814,121.638,92.824(1),90.994(2),85.879,66.992(1),65.356(1),63.553
1170,1127,Max Wolfinger,74,[174],AS,50,2001,Chevy Corvette Z06,149.659,0.814,121.822,96.134(1),87.085,84.730,66.083,66.177(1),64.929(1)
1177,1140,Ken Pike,188,[88],AS,51,2003,Chevy Corvette Z06,150.157,0.814,122.228,93.558(1),86.493,86.063,67.719,65.599,64.094
1182,1146,Tom Pora,80,,AS,52,2003,Chevy Corvette Z06,150.365,0.814,122.397,95.919,89.152,84.713,74.579,66.436,65.652
1189,1154,James Wilson,37,,AS,53,2011,Porsche Cayman S,150.665,0.814,122.641,99.100(1),94.838,87.409,67.462,64.359,63.256
1193,1159,David Finchum,65,,AS,54,2004,Chevy Corvette Z06,150.783,0.814,122.737,93.778(1),88.638,85.871(1),66.697,65.759,64.912
1203,1171,Bea Regganie,185,[85],AS,55,2002,Chevy Z06,151.178,0.814,123.059,93.781,88.661,87.059(1),DNF,65.727,64.119
1206,1178,Justin Lau,153,[53],AS,56,2006,Chevy Corvette Z06,151.441,0.814,123.273,100.090(1),91.421,87.966,65.232,65.669(1),63.475
1217,1192,Zach Driver,73,[173],AS,57,2007,Chevy Corvette Z06,152.047,0.814,123.766,92.742,94.925,88.586(2),66.176,65.040,63.461
1257,1221,Tina Moreau,87,[187],AS,58,2002,Chevy Corvette Z06,153.973,0.814,125.334,101.623(1),87.842,82.835,DNF,71.138,DNF
1264,1225,John Foesch,44,[144],AS,59,2004,Chevy Corvette Z06,154.354,0.814,125.644,94.939,DNF,88.330,DNF,68.252,66.024
1267,1227,Aaron Botnick,42,,AS,60,2008,Chevy Corvette Z5,154.408,0.814,125.688,96.738,89.681,86.275,73.382,68.133,DNS
1289,1250,Kevin Youngers,88,[188],AS,61,2003,Chevy Corvette,156.511,0.814,127.400,114.700(5),94.474,90.547(1),70.292(1),66.587,65.964
1300,1270,Frank Putman,55,,AS,62,2001,Chevy Corvette Z06,157.958,0.814,128.578,100.558(1),93.780,88.862,76.676,70.482,69.096
1307,1279,Nicholas Yanchik,77,[177],AS,63,2003,Chevy Corvette Z06,159.072,0.814,129.485,95.510(1),92.479,89.764,DNF,74.108(2),69.308
,1348,Nick Barbato,91,,AS,64,2004,Chevy Corvette Z06,No Time,0.814,999.999,94.522,DNF,DNF,DNS,DNS,DNS
913,853,Jessy Gauthier,87,,ASL,1,2017,Porsche Cayman,143.652,0.814,116.933,81.413,79.953,80.096,67.847(2),63.699,64.371
980,934,Lana Tsurikova,99,,ASL,2,2007,Chevy Corvette Z06,144.901,0.814,117.949,86.897,85.182(1),81.528,75.207(2),64.407,63.373
1035,1010,Carla Russo,92,,ASL,3,2002,Chevy Corvette Z06,146.195,0.814,119.003,86.124(2),81.373,82.463,65.244,65.135,64.822
1058,1028,Sara Odioso,82,,ASL,4,2010,Chevy Corvette GS,146.617,0.814,119.346,82.428,81.891,82.960,67.546,65.577,64.726
233,62,Jeremy Foley,80,[180],BS,1,2011,BMW 1M,130.508,0.808,105.450,61.327,61.865,61.866,70.114,69.181,77.553(1)
234,63,Doug Rowse,87,[187],BS,2,2016,BMW M2,130.514,0.808,105.455,63.781(1),61.954,61.860,68.654,71.778(2),75.751
282,101,Eric Campbell,76,[176],BS,3,2017,BMW M2,131.596,0.808,106.330,61.873,62.328,61.999,69.723,70.097,78.517
305,133,Justin Moore,98,[198],BS,4,2006,Porsche Cayman S,132.048,0.808,106.695,DNF,61.621,62.257,72.153(1),70.427,76.234
307,134,Alex Shchipkov,176,[76],BS,5,2017,BMW M2,132.063,0.808,106.707,62.799,62.021,62.473,70.042,82.786(4),77.036
316,148,Dan Bullis,169,[69],BS,6,1999,Chevy C5 FRC,132.331,0.808,106.923,62.501,62.239,65.886(2),70.092,74.373,76.445
329,162,Chris Carris,139,[39],BS,7,2018,Ford Blurry RS,132.562,0.808,107.110,64.566(1),62.420,62.953,70.142,71.779,74.025
370,202,Steven Umholtz,94,,BS,8,2016,Ford Focus RS,133.369,0.808,107.762,62.620,63.015,65.334(1),70.749,71.811,75.485
380,216,Edward Fisher,99,[199],BS,9,2000,Chevy Corvette,133.617,0.808,107.963,64.443,62.384,63.696,72.575,71.233,83.361(2)
411,248,Chris Kavka,9,[109],BS,10,2016,Ford Focus RS,134.155,0.808,108.397,63.902,64.498,63.437,71.215,70.718,76.964
444,292,Kevin Kent,1,,BS,11,2005,Honda S2000,134.659,0.808,108.804,63.475,63.285,63.059,71.600,73.716,77.318
445,295,Rachel Baker,135,[35],BS,12,2008,Porsche Cayman S,134.683,0.808,108.824,64.767(1),63.053,64.767(1),71.630(1),72.260,75.015
448,301,Kerry Emmert,180,[80],BS,13,2011,BMW 1M,134.727,0.808,108.859,DNF,65.228(1),63.252,71.475,76.767,78.385
450,302,Donour Sizemore,35,[135],BS,14,2008,Porsche Cayman S,134.759,0.808,108.885,63.553,63.202,63.433,71.631,71.557,78.675
470,328,Jerry Centanni,97,,BS,15,1999,Chevy Corvette,135.135,0.808,109.189,68.496(3),62.855,62.822,79.596(4),72.313,76.383
494,353,Jason Kuks,91,,BS,16,2006,Honda S2000,135.434,0.808,109.431,65.175(1),63.719,63.542,71.892,73.019(1),80.324
503,364,Alan Eisenreich,93,,BS,17,2016,Audi S3,135.601,0.808,109.566,64.893(1),69.068(3),63.948,71.653,73.348(1),76.448
509,377,Chris Wheelock,5,[51],BS,18,2000,Chevy Corvette,135.810,0.808,109.734,65.598,63.823,65.259(1),72.481,71.987,78.193
525,397,Nigel Fenwick,66,,BS,19,2017,BMW M2,136.096,0.808,109.966,64.463,63.668,65.615(1),75.769(1),72.428,77.508
532,407,Sebastian Rios,198,[98],BS,20,2006,Porsche Cayman S,136.251,0.808,110.091,62.050,61.694,62.587,74.557(2),75.234,85.098
538,414,Jason Froehlich,30,,BS,21,2002,Chevy Corvette,136.335,0.808,110.159,65.051,64.567,64.310,72.467,72.025,79.436(1)
568,438,Mat Beck,67,[167],BS,22,2000,Chevy Corvette,136.649,0.808,110.412,63.809,63.619,63.761,73.030,75.498(1),84.323
569,439,Alan Hamson,22,,BS,23,2006,Honda S2000,136.672,0.808,110.431,68.643(2),71.236,64.460,73.264,72.212,77.173
570,439,Brian Kelly,188,[88],BS,24,2014,Nissan 370Z,136.672,0.808,110.431,63.648,63.934,64.409,73.024,78.355,82.273(1)
588,460,Gabe Hanohano,39,[139],BS,25,2017,Ford Focus RS,137.011,0.808,110.705,65.618(1),64.372,65.109(1),72.639,73.375(1),77.289(1)
602,472,Jason Bucki,187,[87],BS,26,2016,BMW M2,137.190,0.808,110.850,64.870(1),62.406,63.026,74.784(2),74.927,76.919
612,480,Jake Hartough,69,[169],BS,27,1999,Chevy Corvette,137.380,0.808,111.003,,66.289(1),67.209(1),74.200,74.170,DNF
622,485,Desmond Au,61,[161],BS,28,2018,Ford Focus RS,137.496,0.808,111.097,65.444(1),65.240,64.148,73.348(1),84.647(6),DNF
638,507,Brendan Sobers,88,[188],BS,29,2014,Nissan 370Z,137.836,0.808,111.371,66.639,66.357(1),64.316,75.887(1),73.520,79.746
660,528,Russell Boylan,27,[127],BS,30,2018,BMW M2,138.234,0.808,111.693,65.855(1),65.798(1),65.559(1),75.388,72.675,78.887
690,550,J Scott Moller,43,,BS,31,2017,Ford Focus RS,138.721,0.808,112.087,65.806,65.755,64.755,74.100,73.966,80.826(1)
747,598,Mark Allen,161,[61],BS,32,2018,Ford Focus RS,139.712,0.808,112.887,64.016,65.526(1),63.351,79.085(3),76.361,77.319
800,656,Nealand Rattanasamay,127,[27],BS,33,2018,BMW M2,140.929,0.808,113.871,65.755,DNF,65.202,75.727,DNF,80.418
802,661,Darrin Linders,89,,BS,34,2017,BMW M2,140.998,0.808,113.926,67.619(1),65.132,66.004,76.756(1),75.866,81.316
804,662,Adam Walker,2,,BS,35,1997,Chevy Corvette,141.042,0.808,113.962,65.039,66.775(1),66.603(1),76.973,76.003,82.555
809,666,Steve Lower,31,,BS,36,2004,Chevy Corvette,141.139,0.808,114.040,65.632,64.345,64.202,76.937,DNF,81.767
830,695,Steven Matchett,109,[9],BS,37,2016,Ford Focus RS,141.663,0.808,114.464,67.104(2),64.186,65.584(1),DNF,77.477,82.117(1)
850,711,Robert Browning,167,[67],BS,38,2000,Chevy Corvette,142.107,0.808,114.822,67.447(1),65.057,66.521,77.050,78.989,79.371
928,804,Barry Beaman,20,,BS,39,2006,Honda S2000,143.959,0.808,116.319,69.741(1),67.462,66.854,77.105,85.036,79.899
1024,932,Jeremy Crowe,7,,BS,40,1995,Chevy Corvette,145.921,0.808,117.904,69.954,67.935,78.298,77.986,84.197,83.364(1)
1198,1135,Jim Gillett,51,,BS,41,1999,Chevy Corvette FRC,151.134,0.808,122.116,69.371,82.078(1),70.055,DNF,81.763,89.512
580,453,Shauna Rios,79,,BSL,1,2006,Porsche Cayman S,136.923,0.808,110.634,64.605,63.183,63.445,75.632,75.748(1),73.740
731,580,Donna Littlejohn,69,,BSL,2,1999,Chevy Corvette FRC,139.428,0.808,112.658,67.125,64.267,64.203,80.408(2),75.972,75.225
857,719,Ann LaRandeau,92,,BSL,3,2008,Audi TT Quattro,142.286,0.808,114.967,DNF,67.032,66.981,80.992,75.305,75.561
925,802,Susan Fenwick,66,,BSL,4,2017,BMW M2,143.938,0.808,116.302,70.455(1),67.617,66.303,77.803,77.635,78.301
942,825,Jessica Luhn,67,,BSL,5,2000,Chevy Corvette,144.225,0.808,116.534,68.318,70.000,71.029,79.616,77.414,75.907
977,863,Cassie Duckert,94,,BSL,6,2006,Honda S2000,144.812,0.808,117.008,67.639,68.406,68.029,78.239,77.173,80.764(1)
733,556,Andrew Pallotta,194,[94],CS,1,2016,Mazda MX5,139.435,0.805,112.245,72.707,70.580,69.377,76.272,72.979(1),70.058
766,596,Darren Seltzer,188,[88],CS,2,2017,Mazda MX5,140.187,0.805,112.851,75.108,74.035,70.339,75.338(1),73.451(1),69.848
771,606,Tom Reynolds,169,[69],CS,3,2016,Mazda Miata,140.388,0.805,113.012,73.073,DNF,69.722,75.733,72.380,70.666
788,621,Ricky Crow,189,[89],CS,4,2016,Mazda MX-5,140.704,0.805,113.267,72.982,DNF,70.573,75.896,71.713,70.131
790,625,DJ Alessandrini,191,[91],CS,5,2017,Mazda Miata,140.751,0.805,113.305,70.446,70.446,69.753,DNF,70.998,DNF
794,629,John Hunter,127,[27],CS,6,2016,Mazda Miata,140.808,0.805,113.350,74.919,73.181,70.471,76.949(1),71.395,70.337
795,630,Dave Ogburn III,195,[95],CS,7,2016,Mazda MX-5,140.830,0.805,113.368,74.525,72.046,70.381,73.616,71.207,70.449
823,659,Dennis Barrett,91,[191],CS,8,2017,Mazda Miata,141.508,0.805,113.914,73.285,72.537,70.712,84.513(1),73.193,70.796
824,660,Brian Coulson,173,[73],CS,9,2016,Mazda MX-5,141.516,0.805,113.920,72.842,70.970,69.002,77.677(1),72.514,79.894
840,681,Kenneth Baker,89,[189],CS,10,2016,Mazda MX-5,141.870,0.805,114.205,73.571,71.794,70.364,75.979,72.957,71.506
871,708,Michael Jeffries,171,[71],CS,11,2016,Mazda MX-5,142.593,0.805,114.787,73.851,71.659,70.670,78.241(1),73.367,71.923
889,734,Tim Viars,71,[171],CS,12,2016,Mazda MX-5,143.197,0.805,115.274,72.082,71.384,70.400,DNF,73.996,72.797
890,735,Chi Ho,88,[188],CS,13,2016,Mazda MX-5,143.225,0.805,115.296,DNF,74.754,72.127,DNF,DNF,71.098
910,754,Paul Dodd,172,[72],CS,14,2003,Porsche Boxster S,143.613,0.805,115.608,73.407,71.141,DNF,77.930,74.554,72.472
915,759,Maurice Velandia,93,[193],CS,15,2016,Mazda MX-5,143.715,0.805,115.691,74.487,73.073,71.749,77.516,74.563,71.966
932,780,Sean Velandia,193,[93],CS,16,2016,Mazda MX-5,144.041,0.805,115.953,76.372,73.755,72.306,76.379,74.684(1),71.735
934,783,Paul Frey,55,,CS,17,2016,Mazda MX-5,144.065,0.805,115.972,78.051,74.059,72.183,77.783,75.756,71.882
936,785,Tom Grzesiak,121,[21],CS,18,2016,Mazda MX-5,144.110,0.805,116.009,77.881,75.550,72.247,76.689,DNF,71.863
944,789,Rick Cone,198,[98],CS,19,2016,Mazda MX5 Miata,144.235,0.805,116.109,74.973,72.832,DNF,74.928,74.186(1),71.403
975,822,Scott Phillips,31,[131],CS,20,2016,Mazda MX-5 Miata,144.701,0.805,116.484,81.428,DNF,74.720,78.220,71.766,69.981
1000,860,Charles Krampert,7,,CS,21,2016,Mazda MX-5 Miata,145.318,0.805,116.981,74.946,73.653,73.549,82.058(1),77.156(1),71.769
1001,861,Chris Harp,94,[194],CS,22,2016,Mazda MX5,145.323,0.805,116.985,72.425,72.120,70.988,78.138,74.335,83.403(3)
1012,884,Tracy Ramsey,192,[92],CS,23,2016,Mazda MX-5 Miata,145.663,0.805,117.259,73.718,72.090,70.948,83.830,74.715,74.751(1)
1014,886,Tristan Mcbride,69,[169],CS,24,2016,Mazda Miata,145.712,0.805,117.298,75.833,72.221,72.502,DNF,77.016,73.491
1033,915,Darrin DiSimo,97,,CS,25,2019,Mazda Miata,146.156,0.805,117.656,77.913,75.003,74.713,77.176(1),73.745,71.443
1059,937,Glenn Austin,85,,CS,26,2005,Nissan 350Z,146.654,0.805,118.056,DNF,79.431(2),73.201,DNF,76.103,73.453
1065,953,Deana Kelley,95,[195],CS,27,2016,Mazda MX-5,146.898,0.805,118.253,78.238,74.689,73.091,82.207,81.753(1),73.807
1068,959,Benjamin Edmiston,90,[190],CS,28,2016,Mazda MX-5,147.017,0.805,118.349,75.214,73.824,DNF,80.369(1),DNF,73.193
1072,961,Michael Parker,23,,CS,29,2017,Mazda MX-5 Miata,147.031,0.805,118.360,76.805,75.329,74.094,DNF,77.139(1),72.937
1074,972,Andrew Kessel,131,[31],CS,30,2016,Mazda MX-5 Miata,147.158,0.805,118.462,77.111,74.701,71.367,75.837,DNF,75.791(2)
1084,988,Win-hou Chow,68,,CS,31,2010,Mazda MX-5 Miata,147.442,0.805,118.691,78.098,76.279,73.711,81.023(2),73.731,76.152(2)
1090,992,Thomas Frecentese,16,,CS,32,2016,Mazda MX5,147.527,0.805,118.759,75.980,77.175,74.559,77.765,75.303,72.968
